City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Inzer,RU,54.2167,57.5556,25.11,93,100,6.38,overcast clouds
125,Havoysund,NO,70.9963,24.6622,32.23,94,100,19.1,light snow
126,Provideniya,RU,64.3833,-173.3,8.08,83,31,1.59,scattered clouds
127,Sulecin,PL,52.4443,15.1168,53.89,38,0,4.29,clear sky
128,Simav,TR,39.0882,28.9777,30.29,74,56,8.41,broken clouds
129,Puerto Ayora,EC,-0.7393,-90.3518,85.96,86,71,7.0,broken clouds
130,Narsaq,GL,60.9167,-46.05,23.22,58,71,1.68,broken clouds
131,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,40,6.91,scattered clouds
132,Raga,SS,8.4596,25.678,86.49,9,97,4.27,overcast clouds
133,Termoli,IT,41.9888,14.9895,46.58,67,0,10.87,clear sky
134,Temirgoyevskaya,RU,45.1141,40.2803,36.9,47,4,17.54,clear sky
135,Severnyy,RU,50.677,36.5532,39.24,56,0,4.47,clear sky
136,Yarada,IN,17.65,83.2667,84.52,84,75,3.44,mist
137,Brunico,IT,46.7958,11.9364,52.95,83,0,3.04,clear sky
138,Concepcion Del Oro,MX,24.6333,-101.4167,63.39,9,3,18.77,clear sky
139,Bethel,US,41.3712,-73.414,55.15,26,0,11.5,clear sky
140,Mount Gambier,AU,-37.8333,140.7667,48.11,93,42,5.75,scattered clouds
141,Praya,CV,14.9215,-23.5087,75.74,57,40,23.02,scattered clouds
142,Kahului,US,20.8947,-156.47,74.84,79,20,10.36,few clouds
143,Saint-Louis,SN,16.3333,-15.0,105.44,8,2,10.16,clear sky
144,Port Lincoln,AU,-34.7333,135.8667,61.77,82,56,15.19,broken clouds
145,Avarua,CK,-21.2078,-159.775,75.25,94,20,3.44,few clouds
146,Margate,GB,51.3813,1.3862,55.69,72,3,1.99,clear sky
147,Egvekinot,RU,66.3167,-179.1667,9.59,98,100,2.51,overcast clouds
148,Kudat,MY,6.8837,116.8477,75.29,94,20,3.44,few clouds
149,Arlit,NE,18.7369,7.3853,85.57,10,0,21.56,clear sky
150,Cidreira,BR,-30.1811,-50.2056,74.86,71,5,23.82,clear sky
151,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,73,62,14.29,broken clouds
152,Izumo,JP,35.3667,132.7667,37.35,82,100,6.55,overcast clouds
153,Dauriya,RU,49.9333,116.8667,4.89,91,23,2.53,few clouds
154,Canutama,BR,-6.5339,-64.3831,85.39,70,72,3.96,broken clouds
155,Longyearbyen,SJ,78.2186,15.6401,13.84,57,20,12.66,few clouds
156,Floro,NO,61.5996,5.0328,43.97,75,75,11.5,broken clouds
157,Changji,CN,44.0167,87.3167,36.39,75,0,4.47,clear sky
158,Kapaa,US,22.0752,-159.319,73.38,87,100,17.27,moderate rain
159,Samarai,PG,-10.6167,150.6667,81.63,79,78,6.89,broken clouds
160,Norman Wells,CA,65.282,-126.8329,-9.36,77,20,9.22,few clouds
161,Wattegama,LK,6.7989,81.4808,75.67,90,52,2.1,broken clouds
162,Lakes Entrance,AU,-37.8811,147.981,59.16,90,100,11.79,light rain
163,Bandar,ID,2.05,99.75,74.68,91,100,3.04,overcast clouds
164,Yaan,NG,7.3833,8.5667,94.68,27,100,5.39,overcast clouds
165,Khandbari,NP,27.3747,87.2039,72.57,43,80,3.87,broken clouds
166,Kieta,PG,-6.2167,155.6333,78.96,82,99,1.32,overcast clouds
